Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-6130.794	-6114.187	-16.60726	0.859507	1	0.04094116	0.09443369	0.292182	0.211733	0.16662	0.0343577	0.194998	0.100109	0.1903652	0.136954	0.476752	1	2.38629	0.00632584	0.404536	0.0682022	0.520936	0.2847989	0.6684197
10	-4570.417	-4556.741	-13.67518	0.5265239	0.3082088	0.0860927	0.05185497	0.25387	0.333918	0.113685	0.0298526	0.196701	0.0719737	0.04660832	0.00598479	0.110894	0.609334	3.27379	0.0255054	0.396368	0.266677	0.31145	0.09846329	0.4733574
20	-3959.286	-3941.409	-17.87774	0.3660078	0.2874434	0.1533556	0.2593675	0.161341	0.589829	0.0341157	0.0124148	0.168334	0.0339653	0.1392694	0.00433214	0.0947696	0.5741	3.3268	0.234337	0.271368	0.156473	0.337823	0.398637	0.349364
30	-3870.876	-3856.175	-14.70058	0.3998767	0.2578565	0.146798	-0.0005492441	0.100381	0.642592	0.0253584	0.00604252	0.193665	0.031961	0.1003586	0.00249831	0.0724195	0.517763	3.40732	0.227811	0.323156	0.129495	0.319538	0.0998094	1.005503
40	-3806.631	-3792.351	-14.27969	0.4024478	0.2618001	0.1628139	-0.05704674	0.0796423	0.612858	0.00475699	0.00591167	0.270761	0.0260699	0.09670213	0.00270793	0.0753344	0.525719	3.39624	0.239784	0.277166	0.150778	0.332272	0.03965539	2.438562
50	-3756.745	-3740.339	-16.40568	0.3399751	0.2577095	0.2180893	0.1163269	0.0445919	0.526739	0.00242337	0.00196478	0.411144	0.0131374	0.1008796	0.0024907	0.0723114	0.517464	3.40773	0.297008	0.296591	0.143862	0.26254	0.2172065	0.464441
60	-3746.907	-3730.128	-16.77826	0.3257342	0.2089336	0.2270518	-0.09453104	0.0218142	0.428378	0.00460308	0.0020388	0.532377	0.010789	0.2227188	0.000713606	0.039083	0.406569	3.55363	0.292125	0.312014	0.138557	0.257304	0.1281878	1.737442
70	-3744.761	-3729.36	-15.40064	0.3133129	0.2224538	0.2082902	0.1113948	0.0166842	0.453678	0.0104571	0.00269215	0.504304	0.012184	0.05333065	0.00106622	0.0476499	0.439692	3.51159	0.29533	0.314313	0.14888	0.241476	0.1647254	0.3237548
80	-3739.445	-3723.434	-16.01089	0.283711	0.2143037	0.2312275	0.1874117	0.0149845	0.54346	0.0109048	0.0027386	0.417023	0.0108887	0.04009745	0.000842103	0.0424133	0.419949	3.5368	0.296226	0.279725	0.133497	0.290551	0.2275092	0.1762454
90	-3741.409	-3722.155	-19.25423	0.2351634	0.1952023	0.3012594	0.4257476	0.0140704	0.544995	0.00942513	0.00198644	0.418201	0.0113221	0.07688706	0.000448282	0.0310544	0.371021	3.59748	0.299558	0.298163	0.134999	0.26728	0.5026347	0.1529681
100	-3745.52	-3728.812	-16.70783	0.3390437	0.1747329	0.2351504	0.08114339	0.00684468	0.48106	0.0112039	0.0102835	0.472901	0.017707	0.1268986	0.000195649	0.020587	0.314597	3.66462	0.299419	0.314468	0.131321	0.254793	0.208042	0.6099663
110	-3746.593	-3730.828	-15.76431	0.2626718	0.1652765	0.2331653	0.1006155	0.00559529	0.550189	0.0195147	0.00495657	0.396052	0.0236926	0.07070761	0.000124431	0.0164424	0.287277	3.69616	0.284008	0.323479	0.122165	0.270349	0.1713231	0.412715
