Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
21	1	-3742.463	-3727.455	-15.00756	0.3593543	0.2240241	0.2038526	-0.04105558	0.0140101	0.542158	0.00502781	0.00807123	0.405216	0.0255172	0.1079359	0.00111361	0.0486824	0.443418	3.50679	0.296225	0.30337	0.122678	0.277727	0.06688034	1.613866
22	0	-3739.991	-3724.58	-15.41058	0.3216861	0.209405	0.2052428	0.2180105	0.0153479	0.517563	0.0164768	0.002706	0.442426	0.00547988	0.005452938	0.000724301	0.0393713	0.407755	3.55215	0.297672	0.301363	0.134287	0.266679	0.2234634	0.02440192
23	1	-3743.497	-3728.603	-14.89363	0.2818204	0.1941549	0.2192705	-0.02595971	0.0138047	0.541421	0.00622069	0.00925776	0.404666	0.0246301	0.09012051	0.000431494	0.030473	0.368231	3.60086	0.291456	0.298928	0.142585	0.267031	0.0641608	1.404604
24	0	-3741.193	-3726.407	-14.78634	0.3347003	0.233721	0.2128112	0.1318075	0.0131788	0.516077	0.0150397	0.00177753	0.441993	0.0119339	0.006461318	0.00143787	0.0552121	0.465876	3.47747	0.305448	0.308758	0.137582	0.248213	0.1382688	0.04673011
25	1	-3745.226	-3727.962	-17.26374	0.3016267	0.2439941	0.2447658	0.07647754	0.0248802	0.528467	0.0047562	0.00886909	0.42404	0.00898806	0.157404	0.00184357	0.0623882	0.488648	3.44712	0.306816	0.308192	0.130775	0.254216	0.2338815	0.6730073
26	0	-3744.539	-3730.135	-14.4041	0.3353705	0.178433	0.2325677	0.07028115	0.01125	0.458426	0.0177649	0.00337921	0.496037	0.0131422	0.004332368	0.000230515	0.0223328	0.325084	3.65235	0.321794	0.296188	0.140221	0.241796	0.07461351	0.05806412
27	1	-3742.03	-3725.277	-16.75329	0.3033936	0.2328961	0.2067156	-0.1533363	0.0127378	0.499312	0.0130575	0.00593779	0.459303	0.00965231	0.2646126	0.00140812	0.0546468	0.464002	3.47994	0.30226	0.297558	0.14603	0.254152	0.1112762	2.377979
28	0	-3741.875	-3727.155	-14.7206	0.276317	0.2142072	0.2809046	0.01779577	0.00984909	0.457155	0.0152213	0.0034154	0.500118	0.0142414	0.02217856	0.000839662	0.0423526	0.419711	3.5371	0.308684	0.279282	0.146247	0.265788	0.03997433	0.5548201
29	1	-3739.292	-3723.594	-15.69812	0.3067764	0.1768409	0.2194631	-0.07601769	0.0105004	0.529456	0.00624363	0.00934416	0.436411	0.00804478	0.1594882	0.00021499	0.0215733	0.320586	3.65763	0.306685	0.302337	0.133247	0.257732	0.08347051	1.910713
30	0	-3741.251	-3726.14	-15.11129	0.2034899	0.1727402	0.3084584	0.03229901	0.0130777	0.486047	0.0123733	0.00293189	0.476092	0.00947744	0.0238109	0.000178588	0.0196753	0.3089	3.67125	0.288879	0.282291	0.158989	0.269841	0.05610991	0.4243618
31	1	-3743.84	-3726.025	-17.8154	0.233701	0.1922676	0.258172	-0.1451219	0.0148837	0.46323	0.00352661	0.0124983	0.486047	0.0198151	0.2981681	0.00040239	0.0294371	0.363177	3.60698	0.30382	0.293343	0.133404	0.269432	0.1530462	1.948223
32	0	-3736.414	-3719.283	-17.13072	0.1731704	0.1745916	0.3736448	0.1747454	0.00821613	0.512948	0.0118342	0.00436631	0.452017	0.0106184	0.04042363	0.000194401	0.0205217	0.314194	3.66509	0.29581	0.319506	0.124991	0.259694	0.215169	0.1878692
33	1	-3743.54	-3725.555	-17.98493	0.2355418	0.2145371	0.3081193	0.07513923	0.0117075	0.513542	0.00789737	0.00869468	0.431083	0.0270752	0.1737022	0.000848024	0.0425602	0.420523	3.53607	0.297588	0.295775	0.130668	0.27597	0.2488414	0.6980438
34	0	-3735.782	-3718.424	-17.35783	0.2007372	0.1941558	0.3475567	0.1437281	0.0071933	0.530384	0.00594697	0.0042679	0.441829	0.0103791	0.08459713	0.000431508	0.0304734	0.368234	3.60086	0.284575	0.31037	0.128922	0.276133	0.2283253	0.3705115
35	1	-3750.213	-3730.258	-19.95501	0.266699	0.2325719	0.2384071	0.2827344	0.00756119	0.544244	0.00510047	0.00419812	0.418414	0.0204823	0.2136807	0.00139654	0.0544251	0.463264	3.48091	0.291115	0.299784	0.125368	0.283732	0.4964151	0.4304477
36	0	-3741.866	-3723.255	-18.61029	0.2243609	0.1640881	0.3675968	-0.04315085	0.0071786	0.476171	0.0119854	0.00251059	0.491644	0.0105102	0.2338184	0.000117117	0.0159547	0.283794	3.70013	0.291321	0.310185	0.12123	0.277264	0.1906675	1.226315
37	1	-3750.83	-3730.519	-20.31098	0.3172494	0.2067776	0.2507236	-0.1522056	0.0150097	0.547749	0.00529561	0.00444118	0.401998	0.0255065	0.4287603	0.000666094	0.0377747	0.401114	3.56045	0.300764	0.306844	0.125581	0.266811	0.2765548	1.550363
38	0	-3742.848	-3726.52	-16.32822	0.2210355	0.1868274	0.287696	0.08560702	0.00894129	0.473138	0.0139047	0.00322593	0.488512	0.0122781	0.08094261	0.000326432	0.0265386	0.348415	3.62472	0.278134	0.330153	0.14076	0.250953	0.1665496	0.4859969
39	1	-3746.548	-3729.919	-16.62859	0.3314547	0.2795699	0.2399441	-0.117929	0.01985	0.49505	0.00496188	0.00620503	0.45889	0.0150434	0.2184029	0.00378472	0.0887286	0.559843	3.34764	0.268489	0.316251	0.129188	0.286072	0.1004739	2.173727
40	0	-3741.463	-3724.32	-17.1433	0.2537941	0.1880406	0.2570885	0.242179	0.0140471	0.496352	0.0129718	0.00297924	0.466342	0.00730804	0.06301772	0.000342381	0.0271735	0.351732	3.62075	0.302705	0.305351	0.125898	0.266046	0.3051968	0.2064823
41	1	-3742.469	-3726.824	-15.64538	0.312129	0.2218332	0.2140957	-0.1483006	0.0226173	0.542429	0.00338253	0.00906976	0.4161	0.00640133	0.1958226	0.00104787	0.0472438	0.438212	3.5135	0.290037	0.321867	0.130873	0.257223	0.047522	4.120672
42	0	-3744.41	-3728.197	-16.21329	0.2448281	0.1808768	0.2865505	0.1819962	0.0106626	0.491467	0.0128441	0.0168442	0.458319	0.009863	0.02722129	0.000255939	0.0235226	0.331943	3.64428	0.302772	0.302733	0.139777	0.254717	0.2092175	0.13011
43	1	-3748.006	-3728.697	-19.30866	0.332276	0.1986578	0.2413814	-0.5699186	0.0130015	0.544941	0.00186762	0.00806047	0.418027	0.0141021	0.5957551	0.000506988	0.0330048	0.380146	3.58634	0.32098	0.299206	0.122846	0.256968	0.02583652	23.05864
44	0	-3736.955	-3720.232	-16.72225	0.2381068	0.1727582	0.2717943	0.2964153	0.0149075	0.511849	0.00462529	0.0134076	0.452898	0.0023132	0.01084001	0.000178737	0.0196834	0.308952	3.67119	0.302718	0.309303	0.13469	0.253288	0.3072553	0.03528013
45	1	-3750.268	-3733.607	-16.66062	0.3322864	0.1874863	0.2550999	-0.1195984	0.0173675	0.543737	0.00140051	0.0137069	0.417104	0.00668424	0.2137041	0.000335026	0.0268826	0.350218	3.62256	0.31746	0.267667	0.126193	0.28868	0.0941057	2.270894
46	0	-3738.269	-3722.514	-15.75515	0.2006404	0.2021198	0.3246767	0.02868933	0.009867	0.473509	0.00903928	0.0115816	0.493436	0.00256716	0.05633876	0.000571091	0.0350073	0.389168	3.57525	0.30868	0.279494	0.130015	0.281811	0.08502809	0.6625899
47	1	-3749.468	-3731.024	-18.44383	0.3140247	0.194582	0.2246708	-0.2866457	0.0185592	0.426495	0.0020484	0.00998221	0.535154	0.00776113	0.4120781	0.000438283	0.0307094	0.36937	3.59948	0.314486	0.286388	0.14335	0.255776	0.1254323	3.285262
48	0	-3735.794	-3717.95	-17.84384	0.2028298	0.2001139	0.3824061	-0.1876822	0.0175422	0.531275	0.00454963	0.00465264	0.436055	0.00592537	0.2573068	0.00053329	0.0338412	0.383955	3.58167	0.29772	0.308791	0.134177	0.259312	0.06962463	3.695629
49	1	-3743.989	-3727.305	-16.68406	0.3117011	0.2166906	0.2251409	0.2834666	0.0183173	0.524016	0.00150982	0.0063811	0.432594	0.0171821	0.03146828	0.000904022	0.0439249	0.425801	3.52937	0.315911	0.287686	0.139467	0.256935	0.3149349	0.09991996
