Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
220	-3736.955	-3720.232	-16.72225	0.2381068	0.1727582	0.2717943	0.2964153	0.0149075	0.511849	0.00462529	0.0134076	0.452898	0.0023132	0.01084001	0.000178737	0.0196834	0.308952	3.67119	0.302718	0.309303	0.13469	0.253288	0.3072553	0.03528013
230	-3738.269	-3722.514	-15.75515	0.2006404	0.2021198	0.3246767	0.02868933	0.009867	0.473509	0.00903928	0.0115816	0.493436	0.00256716	0.05633876	0.000571091	0.0350073	0.389168	3.57525	0.30868	0.279494	0.130015	0.281811	0.08502809	0.6625899
240	-3735.794	-3717.95	-17.84384	0.2028298	0.2001139	0.3824061	-0.1876822	0.0175422	0.531275	0.00454963	0.00465264	0.436055	0.00592537	0.2573068	0.00053329	0.0338412	0.383955	3.58167	0.29772	0.308791	0.134177	0.259312	0.06962463	3.695629
250	-3743.035	-3723.214	-19.82055	0.2306747	0.2077743	0.3291746	0.4745942	0.0134624	0.481267	0.0134497	0.00709874	0.480019	0.00470319	0.07902536	0.000687774	0.0383774	0.403642	3.55729	0.302834	0.294977	0.145798	0.256391	0.5536196	0.1427431
260	-3740.935	-3725.386	-15.54917	0.2211681	0.2111787	0.3168009	-0.02982615	0.0162897	0.476249	0.00756822	0.00639085	0.48822	0.0052821	0.07484714	0.000765538	0.0404631	0.412198	3.54657	0.30042	0.290217	0.148335	0.261029	0.04502099	1.662494
270	-3742.344	-3725.967	-16.3763	0.2301021	0.2076677	0.3537804	-0.1060724	0.0105608	0.452016	0.00995456	0.00582463	0.512971	0.00867262	0.1421409	0.000685432	0.0383128	0.403372	3.55763	0.286651	0.308416	0.155174	0.249759	0.03606848	3.940862
280	-3740.66	-3725.094	-15.56532	0.2045851	0.1471603	0.3134535	-0.06743963	0.0104604	0.519575	0.00785769	0.00448213	0.443741	0.0138838	0.1001207	4.44276e-05	0.00985051	0.233244	3.75686	0.294034	0.312268	0.143377	0.250321	0.03268103	3.063571
290	-3744.891	-3725.549	-19.3416	0.2633127	0.214148	0.3259733	-0.103236	0.013453	0.512063	0.00832383	0.0148195	0.439434	0.0119065	0.3229616	0.000838168	0.0423153	0.419565	3.53728	0.303148	0.277326	0.139332	0.280195	0.2197256	1.469841
300	-3742.527	-3724.646	-17.88134	0.259404	0.2455139	0.3021193	0.02944262	0.0153267	0.515623	0.00804524	0.00590984	0.442489	0.012606	0.1917681	0.00190923	0.0634698	0.491929	3.44269	0.31285	0.300465	0.143791	0.242895	0.2212107	0.8669024
310	-3739.779	-3722.392	-17.38669	0.2090085	0.1691529	0.2960711	0.2498816	0.0193975	0.567702	0.00608606	0.0043633	0.39342	0.00903105	0.06444435	0.000150717	0.0180851	0.298562	3.6832	0.270772	0.311366	0.139422	0.27844	0.314326	0.2050239
320	-3739.759	-3721.622	-18.13714	0.2099979	0.163586	0.3758267	0.3531102	0.0112419	0.598191	0.00394903	0.00459763	0.369851	0.012169	0.01131868	0.000114127	0.0157509	0.28232	3.70181	0.300405	0.30828	0.11512	0.276195	0.3644289	0.03105868
330	-3744.225	-3725.224	-19.0017	0.2351095	0.2014052	0.2673836	0.5537373	0.0144858	0.520543	0.00722078	0.00831079	0.438188	0.0112509	0.02561643	0.000557415	0.0345901	0.387315	3.57754	0.266794	0.32522	0.127924	0.280062	0.5793537	0.04421554
340	-3740.586	-3724.55	-16.03634	0.2646871	0.2018646	0.2546727	0.2085881	0.0131107	0.553137	0.00440471	0.0206714	0.39659	0.0120861	0.02128199	0.000566181	0.0348581	0.388507	3.57607	0.306524	0.29119	0.124069	0.278218	0.2298701	0.09258266
350	-3743.346	-3728.802	-14.54391	0.2764135	0.1856693	0.27302	-0.004021361	0.0102678	0.434022	0.00565417	0.0146574	0.523358	0.0120405	0.02673662	0.000311717	0.0259387	0.345235	3.62851	0.284306	0.312906	0.134755	0.268033	0.02271526	1.177033
360	-3738.696	-3723.696	-15.00039	0.2661163	0.2221741	0.2699935	0.01561221	0.0107066	0.523257	0.00803999	0.0120517	0.434605	0.0113399	0.04641057	0.00105792	0.0474667	0.439025	3.51245	0.294294	0.292523	0.119003	0.29418	0.06202278	0.7482826
370	-3738.149	-3722.544	-15.60451	0.2891705	0.2010192	0.2519097	-0.0792912	0.0136877	0.52334	0.00613563	0.0149113	0.434674	0.00725208	0.1403491	0.000550125	0.0343656	0.386313	3.57877	0.284501	0.317507	0.122803	0.275188	0.06105786	2.298624
380	-3742.899	-3726.633	-16.26517	0.2718249	0.1813582	0.2566895	0.02770277	0.0101238	0.529041	0.00734485	0.00847265	0.439409	0.00560847	0.1186747	0.000261181	0.0237604	0.333288	3.64269	0.31762	0.303833	0.134526	0.244021	0.1463775	0.8107443
390	-3744.145	-3727.583	-16.56202	0.2665817	0.1852186	0.3089376	0.01986846	0.0114393	0.528925	0.00583342	0.00706521	0.444068	0.00266849	0.1108264	0.000306124	0.0257069	0.343994	3.62999	0.320832	0.322493	0.124214	0.232462	0.1306949	0.8479783
400	-3743.484	-3726.115	-17.36936	0.2234977	0.2174862	0.3115217	0.07117138	0.00987102	0.526185	0.00641712	0.0119828	0.441768	0.00377583	0.1364337	0.000925334	0.0444329	0.427739	3.5269	0.294362	0.289026	0.132156	0.284456	0.2076051	0.6571791
410	-3740.286	-3724.088	-16.19764	0.2935914	0.2275303	0.228298	-0.2507555	0.0110923	0.539971	0.0147991	0.00927617	0.420977	0.00388433	0.2700866	0.0012245	0.0510136	0.451647	3.49611	0.306385	0.307959	0.125848	0.259808	0.01933111	13.97161
420	-3742.573	-3727.818	-14.75537	0.318678	0.1894737	0.2270079	0.0305091	0.0099477	0.547369	0.0128379	0.0119271	0.415779	0.00213886	0.04765142	0.000361944	0.0279321	0.355632	3.61607	0.318166	0.293004	0.121331	0.267499	0.07816052	0.609661
430	-3741.539	-3726.659	-14.88007	0.3218104	0.2302648	0.1982735	-0.1343906	0.00801231	0.550487	0.0172435	0.0103832	0.411703	0.00217041	0.1540831	0.00131594	0.0528556	0.45798	3.48785	0.292547	0.295579	0.130916	0.280958	0.01969257	7.824429
440	-3750.095	-3733.283	-16.81175	0.2747347	0.200339	0.2521413	-0.1320687	0.00949911	0.589037	0.0139122	0.00579432	0.378837	0.00292098	0.2325874	0.000537442	0.0339713	0.384542	3.58095	0.284441	0.332837	0.115454	0.267268	0.1005187	2.313872
